"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist mbid"
"158","Joe","What If A Woman",16,"What If A Woman","Joe","Joe","joe","joe","what if a woman","what if a woman","what if a woman","whatifawoman","32f2d6bd-c22b-42cf-a7bc-0c4b48cd2bcb"
"159","Joe Featuring G-Unit","Ride Wit U",14,"Ride Wit U","Joe","Unit","joe featuring g-unit","joe","ride wit u","ride wit u","ride wit u","ridewitu","32f2d6bd-c22b-42cf-a7bc-0c4b48cd2bcb"
"160","Joe Featuring Mystikal","Stutter",26,"Stutter","Joe","Mystikal","joe featuring mystikal","joe","stutter","stutter","stutter","stutter","32f2d6bd-c22b-42cf-a7bc-0c4b48cd2bcb"
"161","John Mayer","Bigger Than My Body",20,"Bigger Than My Body","John","Mayer","john mayer","john mayer","bigger than my body","bigger than my body","bigger than my body","biggerthanmybody","c50c8d6f-721b-4f79-9186-0e32c729e860"
"162","John Mayer","Daughters",8,"Daughters","John","Mayer","john mayer","john mayer","daughters","daughters","daughters","daughters","c50c8d6f-721b-4f79-9186-0e32c729e860"
"163","John Mayer","No Such Thing",24,"No Such Thing","John","Mayer","john mayer","john mayer","no such thing","no such thing","no such thing","nosuchthing","c50c8d6f-721b-4f79-9186-0e32c729e860"
"164","John Mayer","Your Body Is A Wonderland",29,"Your Body Is A Wonderland","John","Mayer","john mayer","john mayer","your body is a wonderland","your body is a wonderland","your body is a wonderland","yourbodyisawonderland","c50c8d6f-721b-4f79-9186-0e32c729e860"
"165","JoJo","Leave (Get Out)",29,"Leave ","JoJo","JoJo","jojo","jojo","leave (get out)","leave ","leave ","leave","2dd3f3ff-9f00-4de9-9687-d25421216c2b"
"166","JoJo Featuring Bow Wow","Baby It's You",12,"Baby It's You","JoJo","Wow","jojo featuring bow wow","jojo","baby it's you","baby it's you","baby it s you","babyitsyou","2dd3f3ff-9f00-4de9-9687-d25421216c2b"
"167","Jonell & Method Man","Round And Round",17,"Round And Round","Jonell","Man","jonell & method man","jonell","round and round","round and round","round and round","roundandround","03bc21da-c2d1-4830-a8fb-75d8a428a131"
"168","Jordan Knight","Give It To You",20,"Give It To You","Jordan","Knight","jordan knight","jordan knight","give it to you","give it to you","give it to you","giveittoyou",NA
"169","Josh Turner","Long Black Train",18,"Long Black Train","Josh","Turner","josh turner","josh turner","long black train","long black train","long black train","longblacktrain","fa904a7b-e3f7-4c47-951f-9566f202e3ca"
"170","Julie Roberts","Break Down Here",12,"Break Down Here","Julie","Roberts","julie roberts","julie roberts","break down here","break down here","break down here","breakdownhere","64c09807-3793-49ca-8228-2be8cdcb4f55"
"171","K-Ci & JoJo","Crazy",25,"Crazy","K","JoJo","k-ci & jojo","k-ci","crazy","crazy","crazy","crazy","6d1b9399-3045-4d43-b753-b3af3d0696c4"
"172","K-Ci & JoJo","Life",17,"Life","K","JoJo","k-ci & jojo","k-ci","life","life","life","life","6d1b9399-3045-4d43-b753-b3af3d0696c4"
"173","K-Ci & JoJo","Tell Me It's Real",20,"Tell Me It's Real","K","JoJo","k-ci & jojo","k-ci","tell me it's real","tell me it's real","tell me it s real","tellmeitsreal","6d1b9399-3045-4d43-b753-b3af3d0696c4"
"174","Keith Murray Featuring Def Squad","Yeah Yeah U Know It",1,"Yeah Yeah U Know It","Keith","Squad","keith murray featuring def squad","keith murray","yeah yeah u know it","yeah yeah u know it","yeah yeah u know it","yeahyeahuknowit","89380b6c-0961-44ad-a7fe-f9115d840aac"
"175","Keith Sweat","I'm Not Ready",10,"I'm Not Ready","Keith","Sweat","keith sweat","keith sweat","i'm not ready","i'm not ready","i m not ready","imnotready","bf88f954-bc38-429f-a049-74ffa7c27b52"
"176","Keith Sweat Featuring Snoop Dogg","Come And Get With Me",5,"Come And Get With Me","Keith","Dogg","keith sweat featuring snoop dogg","keith sweat","come and get with me","come and get with me","come and get with me","comeandgetwithme","bf88f954-bc38-429f-a049-74ffa7c27b52"
"177","Kenny Rogers With Alison Krauss & Billy Dean","Buy Me A Rose",20,"Buy Me A Rose","Kenny","Dean","kenny rogers with alison krauss & billy dean","kenny rogers","buy me a rose","buy me a rose","buy me a rose","buymearose","007554f9-945c-48cb-a825-17dcb3c5fbd2"
"178","Leslie Carter","Like, Wow!",1,"Like, Wow!","Leslie","Carter","leslie carter","leslie carter","like, wow!","like, wow!","like  wow ","likewow","e8666e7f-b9ec-4773-b765-3c2cc1927f01"
"179","LFO","Every Other Time",18,"Every Other Time","LFO","LFO","lfo","lfo","every other time","every other time","every other time","everyothertime","e6d0179f-b899-4563-b6c6-88715aaae0b8"
"180","LFO","Girl On TV",17,"Girl On TV","LFO","LFO","lfo","lfo","girl on tv","girl on tv","girl on tv","girlontv","e6d0179f-b899-4563-b6c6-88715aaae0b8"
