,recording.id,recording.title,recording.artist-credit-phrase
133,37bfb685-0771-4675-8cc7-e935e90cace9,Thugz Mansion (video),2Pac
134,43760920-1e35-444f-be2a-504ec5ff3cbb,Thugz Mansion,2Pac & Nas
135,def3e368-f05d-473c-8a8d-ae34ea2d80e4,Thugz Mansion,2Pac feat. Anthony Hamilton
136,b36e3b3e-ed1b-4bd6-ab0b-ce5e5851b9ec,Thugz Mansion,2Pac feat. Anthony Hamilton
137,0f1706a3-67d5-49d6-8bed-b1bc350833d8,Thugz Mansion,2Pac & DJ Premier
138,ec713c3f-a517-4ee6-a941-1e883610ddec,Thugz Mansion (Nas acoustic),2Pac
139,3074eb39-fa9f-41f0-a6cd-15fc543f7ee3,Thugz Mansion (Ny),2Pac feat. Nas
140,3e8aed00-83e1-4926-bddf-a81ea7151a51,Thugz Mansion (acoustic),2Pac feat. Eric Clapton
141,7d5c7681-de4d-416d-80ba-41bc4da4f6cf,Thugz Mansion (instrumental),2Pac feat. Anthony Hamilton
142,3e22ab01-3d2c-442b-8c51-37cda00172ce,Thugz Mansion (BD demo remix),2Pac
143,ffe846be-86c3-4b03-b5fe-472c9487d1bf,Thugz Mansion (2Pac original) (acoustic),2Pac
144,e5a78a53-28c4-4ced-9a77-492c04bcef7e,Thugz Mansion (acoustic),2Pac feat. Nas & J. Phoenix
145,cac338d3-33ba-470e-b097-c489f3613869,Thugz Mansion (Chill version),Nas feat. 2Pac
146,e485b5b9-4518-4014-bbb6-a19d2f34dfcc,Thugz Mansion (BD demo acoustic remix),2Pac
147,c0a89dd8-2436-43e4-a1b9-94b8be510760,Thugz Mansion (radio version),2Pac feat. Anthony Hamilton
148,b912a91c-da89-4d28-980f-8f5bacf66715,Thugz Mansion (7 remix),2Pac feat. Anthony Hamilton
149,b7966737-75a7-43f9-b52f-932ddf6953bd,Thugz Mansion (Cookin Soul remix),Nas feat. 2Pac
150,999d3a45-248b-4e8c-ac82-530db889eb2a,Thugz Mansion (N.Y.),Nas feat. 2Pac & J. Phoenix
151,76660271-9a8a-48f4-80d4-427b83528e8d,Until the End of Time,2Pac
152,f871090b-3556-48ce-93ce-6c435075eff6,Until the End of Time,2Pac
153,57883e43-6334-4811-a31f-6446dd8664aa,Until the End of Time,2Pac
154,d0429f6e-611c-43d4-889d-6834ee085d79,Until the End of Time,2Pac
155,49ccf108-ace2-4c27-a8e6-8ccbf3c32ebe,Until the End of Time,2Pac
156,7a08b582-bb80-4a21-a87e-2c0faf121df3,Until the End of Time (remix),2Pac
157,65ffcf02-1b87-45dd-aefc-797711922998,Until the End of Time (video),2Pac
158,c40e016b-55ff-4179-873d-1429a5489188,Until the End of Time,2Pac feat. 6.9
159,6db48a12-4b53-4b96-a6d0-16e36f691728,Until the End of Time,2Pac feat. RL
160,f76a8340-2629-48ad-b7b8-ce749ded6bb1,Until The End of Time,2Pac feat. RL
161,fd464889-dd6c-44e8-b550-ecb2d188e751,Until the End of Time,2Pac featuring R.L.
162,29d0c06b-0316-4be9-9b60-c2aff7e50dfb,Until the End of Time,2Pac feat. RL
163,30b08e2e-98be-4409-ab2f-9222d6f660f3,Until the End of Time (original version),2Pac
164,af270ffd-ccea-4079-a14e-07d9850d337e,Until the End of Time,2Pac feat. Sixx Nine
165,ba1b46d2-b72f-4423-bf3b-ad7744cb7407,Until the End of Time,2Pac feat. RL & Anthem
166,23395de1-0aff-4e1a-9434-e91d406cac75,Until the End of Time,2Pac feat. K‐Ci & JoJo
167,60c61148-7b6e-4ef9-b26d-36d0d5552dde,Until the End of Time (Don't B Afraid Remix),2Pac
168,9512d3c0-ea8a-4a8a-8dc2-09d5271ba807,Until the End of Time (RP remix),2Pac feat. Richard Page
169,ca70ab9f-cdef-44d9-be70-4cfdddd182fc,Until the End of Time (RP remix),2Pac featuring Richard Page
170,8b8e98c5-97a2-4ee4-b874-7e5d05202d82,Baby Don't Cry,2Pac feat. Outlawz
171,839ac9d1-6e87-4717-b691-0bfbdb314063,Baby Don't Cry,2Pac feat. Outlawz
172,cf0aac94-be4a-4bee-bf53-ce534faf261a,Baby Don’t Cry (OG),2Pac & Outlawz
173,d2f14fbc-6116-4e43-840e-467bf0224661,Baby Don’t Cry (Keep Ya Head Up II),2Pac + Outlawz
174,c150ef28-544c-4338-bb58-eb2b07c9224a,Baby Don't Cry (Keep Ya Head Up II),2Pac & Outlawz
175,26061794-41c2-4025-88fa-c4897141ae1f,Baby Don't Cry (Keep Ya Head Up II),2Pac & Outlawz
176,e7472e18-b269-4a83-a998-e46d9fe7ac5f,Baby Don’t Cry (Keep Ya Head Up II) (instrumental),2Pac and Outlawz
177,e9956e2b-ccee-4017-892b-e2a605b27454,Baby Don’t Cry (Keep Ya Head Up II) (a cappella),2Pac and Outlawz
178,07b19a79-1c29-405e-8eea-6f5e569b12cb,Baby Don’t Cry (Keep Ya Head Up II) (clean version),2Pac + Outlawz
179,cdc3f55f-1c2a-49cf-ac49-b01c6b1000cc,"Baby Don’t Cry (Keep Ya Head Up II) (Trackmasters remix, dirty version)",2Pac and Outlawz
180,bda316f2-3d1f-4a8f-82c6-7ed479fab17c,Still Ballin’ (instrumental),2Pac featuring Trick Daddy
181,9ebd04e1-bfc0-49cc-8a71-51093fb227cb,Still Ballin’ (clean),2Pac featuring Trick Daddy
182,289a1ad4-70e1-4b28-9727-9a7e3cba2ea9,Still Ballin’ (Nitty remix),2Pac featuring Trick Daddy
183,6e05290c-2532-4c96-94ee-970baa96a533,Away From the Sun,3 Doors Down
184,16b7a665-5f4c-44db-91d2-f77ced9fe74e,Away From the Sun,3 Doors Down
185,b97ff65f-9c1a-4a9d-b399-832f4e564bcf,Away From the Sun,3 Doors Down
186,20a7d670-35ce-4f04-bcc1-66a5d43a63f5,Away From the Sun,3 Doors Down
187,322312a0-28f1-4e6e-81b3-5f252e93cb12,Away From the Sun,3 Doors Down
188,4d769079-7f07-4c49-85f1-088926a94524,Away From the Sun,3 Doors Down
189,34fb8d11-e44b-4a9e-81e7-61782ed8e581,Away From the Sun,3 Doors Down
190,8a91eb14-69d5-42c0-aec2-bf227fa1e30a,Away From the Sun,3 Doors Down
191,211d1b7e-788e-45e9-b003-9f5b6e1511ef,Away From the Sun,3 Doors Down
192,6a61934f-1d78-4609-bea0-8cfa28bd92b7,Away From the Sun (acoustic),3 Doors Down
193,e28461d2-d570-4ebf-8b13-c4de056363b5,Away From the Sun (video),3 Doors Down
194,4442e2cb-5c27-4578-8269-cd4ea4c108b7,Away From the Sun (acoustic),3 Doors Down
195,49cf0a89-1f1c-4f02-a4a9-9c22867336a6,Away From the Sun (alternate mix),3 Doors Down
196,0681f147-6fc3-4bb5-bde9-38f708a6cadf,Away From the Sun (album version),3 Doors Down
197,07dbc094-2ad0-44df-a280-b808d209155a,Away From the Sun (5.1 mix),3 Doors Down
198,0cf5bfcd-5d12-4091-a79e-c59aae0799fa,Away From the Sun (Dolby Stereo),3 Doors Down
199,35d33d55-a5ad-44b6-8c53-1ef31164ca74,Away from the Sun (iTunes Originals Version),3 Doors Down
200,7bc5e296-d9f0-4388-a7bf-31c00a5d3ec9,The Making of Away From the Sun,3 Doors Down
201,2d4088ac-5e7a-45d0-a43a-df60949e2346,Away From the Sun (Dolby Surround Sound),3 Doors Down
202,a2f0d440-c572-47b6-876f-3ea0f42c99bd,"Away From the Sun (live at Cynthia Woods Mitchell Pavillion, Houston, TX, 2003)",3 Doors Down
203,c33d989d-d0f2-49b4-9121-cf759168563c,Be Like That,3 Doors Down
204,af6f567f-216a-498d-bd23-feda6b39eeab,Be Like That,3 Doors Down
205,c4ddd524-efcb-449d-a264-e2e124d57bc3,Be Like That,3 Doors Down
206,0a29c257-631d-4c83-ae8c-38c8287c99b5,Be Like That,3 Doors Down
207,e534281a-b80a-422e-abe0-f05cff83e9d4,Be Like That,3 Doors Down
208,16b34e92-a746-4e69-a2b5-d9fc4b6887ef,Be Like That,3 Doors Down
209,448fb5b4-b99d-42da-a924-29959b9559fb,Be Like That,3 Doors Down
210,7e7d412a-7328-495a-a4eb-2c7b51dba0fe,Be Like That,3 Doors Down
211,e29292d8-619d-4906-9267-8b28251a0f87,Be Like That,3 Doors Down
212,eb69fbfa-44c7-47ca-b927-836c0d5304bc,Be Like That,3 Doors Down
213,e9e236e2-ae8b-4c40-a4e7-36e5a94bc20e,Be Like That,3 Doors Down
214,1e7a3b6f-c3a4-458e-a962-f1e7de2babc6,Be Like That,3 Doors Down
215,955de04c-f54c-4184-b886-c9d2a4eb4dd5,Be Like That (acoustic),3 Doors Down
216,33ab2c3c-6780-48aa-84ed-e5a470034f11,Be Like That (acoustic),3 Doors Down
217,e57732af-fa41-464a-ad53-ea1aca230d73,Be Like That (radio edit),3 Doors Down
218,cec4dc70-eb4d-429c-a717-4850bf8bf1b2,Be Like That (acoustic version),3 Doors Down
219,0957032f-871b-4f40-97ca-96712f3d5bc9,Be Like That (American Pie edit),3 Doors Down
220,c48dc92d-d35a-4632-8b88-d47a52f6e297,If I Could Be Like That,3 Doors Down
221,85a496f0-058f-4304-a266-aa7aad6beda6,Be Like That (American Pie edit),3 Doors Down
222,99bddf40-faef-45ae-9f66-bf137304729c,"Be Like That (live at Cynthia Woods Mitchell Pavillion, Houston, TX, 2003)",3 Doors Down
223,4e5a8e03-9244-4e35-b1bd-c0c3464bfb2a,Here Without You,3 Doors Down
224,28ab7204-eb87-49f6-956a-f2e1a694f8d6,Here Without You,3 Doors Down
225,fa17c6d4-a142-4f59-9228-10e1ca1d15e4,Here Without You,3 Doors Down
226,b59da970-1220-4ea1-a8da-1724a34d8d86,Here Without You,3 Doors Down
227,3ffa22cf-9b3a-42fe-9e34-1a337675c653,Here Without You,3 Doors Down
228,30b0d799-d2c5-4d2b-9739-2d7c6ec62555,Here Without You,3 Doors Down
229,74fcab6e-029b-4565-9944-43df47219a38,Here Without You,3 Doors Down
230,f85787d9-bff2-4aa6-8d72-50b9668cf966,Here Without You,3 Doors Down
231,a1dd1c88-2e9a-4386-b2a3-f6028c60baba,Here Without You,3 Doors Down
232,7f2b6bd8-a1d1-44e7-8728-90c70823070c,Here Without You,3 Doors Down
233,aed7b79f-3196-4e72-9732-5608fe3648a1,Here Without You,3 Doors Down
234,681fcbb7-bf2b-41c1-b904-6b98043f050d,Here Without You,3 Doors Down
235,903eb79f-c85c-421e-967d-30f0e7050145,Here Without You,3 Doors Down
236,f0949cdc-9a09-4683-b48f-b3c0f3a71b40,Here Without You,3 Doors Down
237,65250ee4-e276-43d9-82ed-c181174c89d9,Here Without You,3 Doors Down
238,967cb949-9b16-4f06-b7b8-8ba58732eeb4,Here Without You,3 Doors Down
239,1e65ae9d-9f28-47b6-921a-b3c971b3862a,Here Without You,3 Doors Down
240,66d97e51-6b8d-4190-8438-0683acdb4da8,Here Without You,3 Doors Down
241,a04a40f8-3ca1-4631-9124-5e654c44412e,Here Without You,3 Doors Down
242,5d97e2cf-f927-433e-a20c-ecc7dd7ec4ee,Here Without You,3 Doors Down
243,a439c051-f71e-4477-b18c-fcf5612146cb,Here Without You,3 Doors Down
244,922e9998-1d3e-4797-8475-cb08e28387b2,Here Without You,3 Doors Down
245,d3f1cd62-ae04-46d0-ba11-ec1970f890a0,Here Without You,3 Doors Down
246,2133808c-1e63-4e31-a5a0-bfd07b911bf6,Here Without You (live),3 Doors Down
247,9d15aaee-64fa-4f6e-9962-3b1418376a7e,Here Without You (acoustic),3 Doors Down
248,4725d53a-0771-427c-b3ad-5eb20ba62978,Kryptonite,3 Doors Down
249,91520004-ec24-43b2-8a81-5cd633ffc982,Kryptonite,3 Doors Down
250,baf5a90d-48e9-4bc3-be29-a8592b698deb,Kryptonite,3 Doors Down
251,2831b41e-676e-4e47-8931-921cd2ec1d8d,Kryptonite,3 Doors Down
252,e749ae54-cf89-492f-a43b-73d421ad3403,Kryptonite,3 Doors Down
253,5e1d0950-97d6-46c5-b40e-cb9d06a20502,Kryptonite,3 Doors Down
254,4479a008-5f52-4afc-96a2-db95b0b1219e,Kryptonite,3 Doors Down
255,37c835bf-e9ef-467c-92f0-b1029a797b23,Kryptonite,3 Doors Down
256,b0699da7-c54d-4fe7-8e77-5926bbdde1fe,Kryptonite,3 Doors Down
257,71f677a3-882d-43df-b5ac-7762c6efcb9f,Kryptonite,3 Doors Down
258,5c283e4a-8600-442a-8ff9-f54b80b5ffc5,Kryptonite,3 Doors Down
259,f205307c-f733-42d6-8954-8ecadb3f9b84,Kryptonite,3 Doors Down
260,daed3334-36fd-4527-9720-3d2b28d6bc3c,Kryptonite,3 Doors Down
261,b9c1ad46-15e2-4575-b0a9-5b3dbe5c6e1a,Kryptonite,3 Doors Down
262,7d8a61cf-2840-4eda-91c7-c24a81d9d2d4,Kryptonite,3 Doors Down
263,91d64d4b-bc59-49d8-a8af-ccfbf94608fb,Kryptonite,3 Doors Down
264,2fdea246-7ad2-4feb-a9b9-8136c1f3cbe5,Kryptonite,3 Doors Down
265,e956c69b-c584-4a70-8434-80c451fd6778,Kryptonite,3 Doors Down
266,9130ee0b-aa66-4bf7-b641-d337b5330f8d,Kryptonite,3 Doors Down
267,b0d84a14-dcc1-403e-ae04-8fd25bccfa6b,Kryptonite,3 Doors Down
268,db2ff8a0-4c3c-4fec-b59c-8799f43c8d11,Kryptonite,3 Doors Down
269,9c2cf3ee-ea81-4192-b626-12791c70fff5,Kryptonite,3 Doors Down
270,f5f6068d-b660-4be3-a8aa-81c55c16d687,Kryptonite,3 Doors Down
271,18f27afb-5218-4116-93d6-841f8a604843,Kryptonite (instrumental),3 Doors Down
272,a3d6404f-de9e-4327-881e-339cfde3d29e,Kryptonite (live),3 Doors Down
273,c326be41-95fb-4689-bf7d-c3f832949720,Loser,3 Doors Down
274,461737a7-96a5-4477-9049-dd886fb3bfdf,Loser,3 Doors Down
275,b95fa937-3be8-4763-9a46-dbd92c3ba983,Loser,3 Doors Down
276,2ada1d99-e9d3-48f3-baaf-d748062c212d,Loser,3 Doors Down
277,6c9baebc-8504-48e8-99b9-3cf2acfb900c,Loser,3 Doors Down
278,769227da-c696-4cf9-a2ce-a2fc170131eb,Loser,3 Doors Down
279,7eb9ca75-6bf0-4f43-a3eb-5213e271d4c0,Loser,3 Doors Down
280,f5725fb1-8e88-4a36-87c1-6edc88ec872b,Loser,3 Doors Down
281,43cba4c4-7826-4866-b48f-6d1c236bfc59,Loser,3 Doors Down
282,48cd7a42-26bd-45f7-b47d-d194c2237e17,Loser,3 Doors Down
283,d582880b-6e17-4d36-a3c8-0a88be720fea,Loser,3 Doors Down
284,c60d4b21-d7c8-41fd-a292-60c8ae2cd097,Loser,3 Doors Down
285,ab1cf247-7582-4120-9452-29e9ce4399d7,Loser,3 Doors Down
