danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,ISRC
0.578,0.892,10,-7.952,0,0.0441,0.000139,0.0111,0.215,0.892,150.253,audio_features,2YxXuCdbUpil3P7tRjhW1t,spotify:track:2YxXuCdbUpil3P7tRjhW1t,https://api.spotify.com/v1/tracks/2YxXuCdbUpil3P7tRjhW1t,https://api.spotify.com/v1/audio-analysis/2YxXuCdbUpil3P7tRjhW1t,196613,4,GBDNH0400385
0.568,0.967,10,-3.804,0,0.0728,0.00163,0.00314,0.315,0.756,149.949,audio_features,1BThsZoEKZ74ako7eULPVu,spotify:track:1BThsZoEKZ74ako7eULPVu,https://api.spotify.com/v1/tracks/1BThsZoEKZ74ako7eULPVu,https://api.spotify.com/v1/audio-analysis/1BThsZoEKZ74ako7eULPVu,198987,4,USDM30301069
0.515,0.828,2,-5.753,1,0.0401,0.00443,0.222,0.362,0.626,155.926,audio_features,4nC7ADktP434rqxHtFbkba,spotify:track:4nC7ADktP434rqxHtFbkba,https://api.spotify.com/v1/tracks/4nC7ADktP434rqxHtFbkba,https://api.spotify.com/v1/audio-analysis/4nC7ADktP434rqxHtFbkba,166227,4,GBDNH0400386
0.563,0.951,2,-5.357,1,0.231,0.0116,0.434,0.0631,0.184,150.163,audio_features,5eZayur1Lv8N0RLKaMUW3b,spotify:track:5eZayur1Lv8N0RLKaMUW3b,https://api.spotify.com/v1/tracks/5eZayur1Lv8N0RLKaMUW3b,https://api.spotify.com/v1/audio-analysis/5eZayur1Lv8N0RLKaMUW3b,209307,4,GBDNH0400387
0.453,0.938,0,-5.344,1,0.0386,0.00306,0.00318,0.132,0.261,160.005,audio_features,2PAhcPwab2sJz340QHtunD,spotify:track:2PAhcPwab2sJz340QHtunD,https://api.spotify.com/v1/tracks/2PAhcPwab2sJz340QHtunD,https://api.spotify.com/v1/audio-analysis/2PAhcPwab2sJz340QHtunD,265707,4,GBDNH0400388
0.436,0.953,11,-5.222,0,0.0581,0.000251,0.0379,0.114,0.599,166.06,audio_features,5KX3uj0E1TdvNfrognZhHJ,spotify:track:5KX3uj0E1TdvNfrognZhHJ,https://api.spotify.com/v1/tracks/5KX3uj0E1TdvNfrognZhHJ,https://api.spotify.com/v1/audio-analysis/5KX3uj0E1TdvNfrognZhHJ,215240,4,GBDNH0400389
0.555,0.92,11,-4.9,0,0.0807,5.17e-05,0.0275,0.445,0.635,170.176,audio_features,01iIEbMiRdwhWADZMgLczS,spotify:track:01iIEbMiRdwhWADZMgLczS,https://api.spotify.com/v1/tracks/01iIEbMiRdwhWADZMgLczS,https://api.spotify.com/v1/audio-analysis/01iIEbMiRdwhWADZMgLczS,259227,4,GBDNH0400390
0.296,0.841,9,-4.746,1,0.0487,0.00364,0.792,0.102,0.134,155.563,audio_features,7dwCUb3OXadzAMWj5tzqyP,spotify:track:7dwCUb3OXadzAMWj5tzqyP,https://api.spotify.com/v1/tracks/7dwCUb3OXadzAMWj5tzqyP,https://api.spotify.com/v1/audio-analysis/7dwCUb3OXadzAMWj5tzqyP,232400,4,GBDNH0400391
0.403,0.97,6,-3.359,0,0.163,2.89e-05,5.15e-05,0.147,0.568,186.006,audio_features,0MEjZnIzUxdGZUMRNJJujA,spotify:track:0MEjZnIzUxdGZUMRNJJujA,https://api.spotify.com/v1/tracks/0MEjZnIzUxdGZUMRNJJujA,https://api.spotify.com/v1/audio-analysis/0MEjZnIzUxdGZUMRNJJujA,235813,4,GBDNH0400392
0.5,0.91,5,-5.908,1,0.0348,0.000116,0.743,0.0948,0.424,145.117,audio_features,7rzw1MIrZc1Ek7cfqbX3mJ,spotify:track:7rzw1MIrZc1Ek7cfqbX3mJ,https://api.spotify.com/v1/tracks/7rzw1MIrZc1Ek7cfqbX3mJ,https://api.spotify.com/v1/audio-analysis/7rzw1MIrZc1Ek7cfqbX3mJ,249827,4,GBDNH0400393
