"chart_week","chart_position","name_recording","name_artist_credit"
1991-10-26,33,"(Everything I Do) I Do It For You","Bryan Adams"
1991-10-26,33,"Blowing Kisses In The Wind","Paula Abdul"
1991-11-02,40,"(Everything I Do) I Do It For You","Bryan Adams"
1991-11-02,40,"Top Of The World","Van Halen"
1991-11-09,46,"(Everything I Do) I Do It For You","Bryan Adams"
1991-11-09,46,"Forever My Lady","Jodeci"
1991-11-16,60,"Home Sweet Home '91","Mötley Crüe"
1991-11-16,60,"(Everything I Do) I Do It For You","Bryan Adams"
1991-11-23,64,"(Everything I Do) I Do It For You","Bryan Adams"
1991-11-23,64,"Everybody Plays The Fool","Aaron Neville"
1991-11-30,75,"Keep It Comin'","Keith Sweat"
1991-11-30,75,"(Everything I Do) I Do It For You","Bryan Adams"
1992-03-28,90,"Money Don't Matter 2 Night","Prince"
1992-03-28,90,"How I Could Just Kill A Man","Cypress Hill"
1992-10-03,9,"Just Another Day","Jon Secada"
1992-10-03,9,"Move This","Technotronic"
1993-01-02,21,"Back To The Hotel","N2Deep"
1993-01-02,21,"End Of The Road","Boyz II Men"
1993-01-02,47,"It's Gonna Be A Lovely Day","S.O.U.L. S.Y.S.T.E.M., The"
1993-01-02,47,"Someone To Hold","Trey Lorenz"
1993-12-25,45,"Amazing","Aerosmith"
1993-12-25,45,"Higher Ground","UB40"
1994-01-01,9,"Said I Loved You.. But I Lied","Michael Bolton"
1994-01-01,9,"What's My Name?","Snoop Doggy Dogg"
1994-01-01,51,"Cantaloop (Flip Fantasia)","US3"
1994-01-01,51,"Higher Ground","UB40"
1994-01-01,88,"Send Me A Lover","Taylor Dayne"
1994-01-01,88,"Rubberband Girl","Kate Bush"
1995-12-30,16,"One Of Us","Joan Osborne"
1995-12-30,16,"You Remind Me Of Something","R. Kelly"
1995-12-30,67,"I Miss You (Come Back Home)","Monifah"
1995-12-30,67,"I Will Remember You (Studio)","Sarah McLachlan"
1995-12-30,78,"Just A Girl","No Doubt"
1995-12-30,78,"Ain't Nuthin' But A She Thing","Salt 'N Pepa"
1996-10-26,82,"When Boy Meets Girl","Total"
1996-10-26,82,"Do You Think About Us","Total"
1996-11-02,68,"When Boy Meets Girl","Total"
1996-11-02,68,"Do You Think About Us","Total"
1996-11-09,64,"When Boy Meets Girl","Total"
1996-11-09,64,"Do You Think About Us","Total"
1996-11-16,61,"When Boy Meets Girl","Total"
1996-11-16,61,"Do You Think About Us","Total"
1997-01-04,85,"That Thing You Do","Wonders, The"
1997-01-04,85,"One And One","Robert Miles"
1997-01-04,92,"Get Up","Lost Boyz"
1997-01-04,92,"Leavin'","Tony Rich Project"
1997-10-11,1,"Candle In The Wind 1997","Elton John"
1997-10-11,1,"Something About The Way You Look Tonight","Elton John"
1997-10-18,1,"Candle In The Wind 1997","Elton John"
1997-10-18,1,"Something About The Way You Look Tonight","Elton John"
1997-10-25,1,"Candle In The Wind 1997","Elton John"
1997-10-25,1,"Something About The Way You Look Tonight","Elton John"
1997-11-01,1,"Candle In The Wind 1997","Elton John"
