"Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","track_lower.x","artist_lower.x","track_lower_no_schar.x","track_lower_no_brackets.x","track_lower_no_schar_ws.x","track_lower_no_brackets_ws.x","track_lower_no_brackets_schar","track_lower_no_brackets_schar_ws","track_artists","tracks_artists.x","recording.title","recording.artist.credit.phrase","track_lower.y","artist_lower.y","track_lower_no_schar.y","track_lower_no_brackets.y","track_lower_no_schar_ws.y","track_lower_no_brackets_ws.y","artist_lower_no_bracket","artist_lower_no_bracket_schar","artist_lower_no_bracket_schar_ws","tracks_artists.y","distance"
"112","Dance With Me",20,"Dance With Me","112","112","dance with me","112","dance with me","112","dancewithme","dancewithme","112","112","dancewithme 112","dancewithme 112","Dance With Me (radio edit)","112","dance with me (radio edit)","112","dance with me  radio edit ","dance with me ","dancewithmeradioedit","dancewithme","112","112","112","dancewithme 112",0
"112","Dance With Me",20,"Dance With Me","112","112","dance with me","112","dance with me","112","dancewithme","dancewithme","112","112","dancewithme 112","dancewithme 112","Dance with Me (radio mix)","112","dance with me (radio mix)","112","dance with me  radio mix ","dance with me ","dancewithmeradiomix","dancewithme","112","112","112","dancewithme 112",0
"112","Dance With Me",20,"Dance With Me","112","112","dance with me","112","dance with me","112","dancewithme","dancewithme","112","112","dancewithme 112","dancewithme 112","Dance With Me (club mix)","112","dance with me (club mix)","112","dance with me  club mix ","dance with me ","dancewithmeclubmix","dancewithme","112","112","112","dancewithme 112",0
"112","Dance With Me",20,"Dance With Me","112","112","dance with me","112","dance with me","112","dancewithme","dancewithme","112","112","dancewithme 112","dancewithme 112","Dance With Me (a cappella)","112","dance with me (a cappella)","112","dance with me  a cappella ","dance with me ","dancewithmeacappella","dancewithme","112","112","112","dancewithme 112",0
"112","Dance With Me",20,"Dance With Me","112","112","dance with me","112","dance with me","112","dancewithme","dancewithme","112","112","dancewithme 112","dancewithme 112","Dance With Me (Beanie Sigel club mix)","112","dance with me (beanie sigel club mix)","112","dance with me  beanie sigel club mix ","dance with me ","dancewithmebeaniesigelclubmix","dancewithme","112","112","112","dancewithme 112",0
"112","Dance With Me",20,"Dance With Me","112","112","dance with me","112","dance with me","112","dancewithme","dancewithme","112","112","dancewithme 112","dancewithme 112","Dance with Me (Aztek Remix)","112 & Aztek","dance with me (aztek remix)","112 & aztek","dance with me  aztek remix ","dance with me ","dancewithmeaztekremix","dancewithme","112 & aztek","112aztek","112aztek","dancewithme 112aztek",5
"112","It's Over Now",20,"It's Over Now","112","112","it's over now","112","it s over now","112","itsovernow","it'sovernow","112","112","it'sovernow 112","it'sovernow 112","It’s Over Now","112","it’s over now","112","it s over now","it’s over now","itsovernow","it’sovernow","112","112","112","it’sovernow 112",1
"112","It's Over Now",20,"It's Over Now","112","112","it's over now","112","it s over now","112","itsovernow","it'sovernow","112","112","it'sovernow 112","it'sovernow 112","It's Over Now","112","it's over now","112","it s over now","it's over now","itsovernow","it'sovernow","112","112","112","it'sovernow 112",0
"112","It's Over Now",20,"It's Over Now","112","112","it's over now","112","it s over now","112","itsovernow","it'sovernow","112","112","it'sovernow 112","it'sovernow 112","It’s Over Now (instrumental)","112","it’s over now (instrumental)","112","it s over now  instrumental ","it’s over now ","itsovernowinstrumental","it’sovernow","112","112","112","it’sovernow 112",1
"112","It's Over Now",20,"It's Over Now","112","112","it's over now","112","it s over now","112","itsovernow","it'sovernow","112","112","it'sovernow 112","it'sovernow 112","It’s Over Now (album version)","112","it’s over now (album version)","112","it s over now  album version ","it’s over now ","itsovernowalbumversion","it’sovernow","112","112","112","it’sovernow 112",1
"112","Peaches & Cream",29,"Peaches & Cream","112","112","peaches & cream","112","peaches   cream","112","peachescream","peaches&cream","112","112","peaches&cream 112","peaches&cream 112","Peaches & Cream","112","peaches & cream","112","peaches   cream","peaches & cream","peachescream","peaches&cream","112","112","112","peaches&cream 112",0
"112","Peaches & Cream",29,"Peaches & Cream","112","112","peaches & cream","112","peaches   cream","112","peachescream","peaches&cream","112","112","peaches&cream 112","peaches&cream 112","Peaches and Cream","112","peaches and cream","112","peaches and cream","peaches and cream","peachesandcream","peachesandcream","112","112","112","peachesandcream 112",3
"112","Peaches & Cream",29,"Peaches & Cream","112","112","peaches & cream","112","peaches   cream","112","peachescream","peaches&cream","112","112","peaches&cream 112","peaches&cream 112","Peaches & Cream (Ludacris mix)","112","peaches & cream (ludacris mix)","112","peaches   cream  ludacris mix ","peaches & cream ","peachescreamludacrismix","peaches&cream","112","112","112","peaches&cream 112",0
"112","Peaches & Cream",29,"Peaches & Cream","112","112","peaches & cream","112","peaches   cream","112","peachescream","peaches&cream","112","112","peaches&cream 112","peaches&cream 112","Peaches & Cream (instrumental mix)","112","peaches & cream (instrumental mix)","112","peaches   cream  instrumental mix ","peaches & cream ","peachescreaminstrumentalmix","peaches&cream","112","112","112","peaches&cream 112",0
"112","Peaches & Cream",29,"Peaches & Cream","112","112","peaches & cream","112","peaches   cream","112","peachescream","peaches&cream","112","112","peaches&cream 112","peaches&cream 112","Peaches & Cream (Stripped version)","112","peaches & cream (stripped version)","112","peaches   cream  stripped version ","peaches & cream ","peachescreamstrippedversion","peaches&cream","112","112","112","peaches&cream 112",0
"112","Peaches & Cream",29,"Peaches & Cream","112","112","peaches & cream","112","peaches   cream","112","peachescream","peaches&cream","112","112","peaches&cream 112","peaches&cream 112","Peaches & Cream (radio mix)","112","peaches & cream (radio mix)","112","peaches   cream  radio mix ","peaches & cream ","peachescreamradiomix","peaches&cream","112","112","112","peaches&cream 112",0
"112","Peaches & Cream",29,"Peaches & Cream","112","112","peaches & cream","112","peaches   cream","112","peachescream","peaches&cream","112","112","peaches&cream 112","peaches&cream 112","Peaches & Cream (P. Diddy mix)","112","peaches & cream (p. diddy mix)","112","peaches   cream  p  diddy mix ","peaches & cream ","peachescreampdiddymix","peaches&cream","112","112","112","peaches&cream 112",0
"112","Peaches & Cream",29,"Peaches & Cream","112","112","peaches & cream","112","peaches   cream","112","peachescream","peaches&cream","112","112","peaches&cream 112","peaches&cream 112","Peaches & Cream (remix without rap)","112","peaches & cream (remix without rap)","112","peaches   cream  remix without rap ","peaches & cream ","peachescreamremixwithoutrap","peaches&cream","112","112","112","peaches&cream 112",0
"112 Featuring Lil'z","Anywhere",25,"Anywhere","112","z","anywhere","112 featuring lil'z","anywhere","112 featuring lil'z","anywhere","anywhere","112featuringlilz","112featuringlilz","anywhere 112featuringlilz","anywhere 112featuringlilz","Anywhere","112 feat. Shyne & Lil' Z","anywhere","112 feat. shyne & lil' z","anywhere","anywhere","anywhere","anywhere","112 feat. shyne & lil' z","112featshynelilz","112featshynelilz","anywhere 112featshynelilz",4
"112 Featuring Lil'z","Anywhere",25,"Anywhere","112","z","anywhere","112 featuring lil'z","anywhere","112 featuring lil'z","anywhere","anywhere","112featuringlilz","112featuringlilz","anywhere 112featuringlilz","anywhere 112featuringlilz","Anywhere (remix)","112 feat. Shyne & Lil' Z","anywhere (remix)","112 feat. shyne & lil' z","anywhere  remix ","anywhere ","anywhereremix","anywhere","112 feat. shyne & lil' z","112featshynelilz","112featshynelilz","anywhere 112featshynelilz",4
"112 Featuring Lil'z","Anywhere",25,"Anywhere","112","z","anywhere","112 featuring lil'z","anywhere","112 featuring lil'z","anywhere","anywhere","112featuringlilz","112featuringlilz","anywhere 112featuringlilz","anywhere 112featuringlilz","Anywhere (radio mix)","112 feat. Lil’ Z","anywhere (radio mix)","112 feat. lil’ z","anywhere  radio mix ","anywhere ","anywhereradiomix","anywhere","112 feat. lil’ z","112featlilz","112featlilz","anywhere 112featlilz",5
"112 Featuring Lil'z","Anywhere",25,"Anywhere","112","z","anywhere","112 featuring lil'z","anywhere","112 featuring lil'z","anywhere","anywhere","112featuringlilz","112featuringlilz","anywhere 112featuringlilz","anywhere 112featuringlilz","Anywhere (call out research hook)","112 feat. Lil’ Z","anywhere (call out research hook)","112 feat. lil’ z","anywhere  call out research hook ","anywhere ","anywherecalloutresearchhook","anywhere","112 feat. lil’ z","112featlilz","112featlilz","anywhere 112featlilz",5
"112 Featuring Ludacris","Hot & Wet",9,"Hot & Wet","112","Ludacris","hot & wet","112 featuring ludacris","hot   wet","112 featuring ludacris","hotwet","hot&wet","112featuringludacris","112featuringludacris","hot&wet 112featuringludacris","hot&wet 112featuringludacris","Hot & Wet","112 feat. Ludacris","hot & wet","112 feat. ludacris","hot   wet","hot & wet","hotwet","hot&wet","112 feat. ludacris","112featludacris","112featludacris","hot&wet 112featludacris",5
"112 Featuring Mase","Love Me",6,"Love Me","112","Mase","love me","112 featuring mase","love me","112 featuring mase","loveme","loveme","112featuringmase","112featuringmase","loveme 112featuringmase","loveme 112featuringmase","Love Me","112 feat. Mase","love me","112 feat. mase","love me","love me","loveme","loveme","112 feat. mase","112featmase","112featmase","loveme 112featmase",5
"112 Featuring Mase","Love Me",6,"Love Me","112","Mase","love me","112 featuring mase","love me","112 featuring mase","loveme","loveme","112featuringmase","112featuringmase","loveme 112featuringmase","loveme 112featuringmase","Love Me (instrumental)","112 feat. Mase","love me (instrumental)","112 feat. mase","love me  instrumental ","love me ","lovemeinstrumental","loveme","112 feat. mase","112featmase","112featmase","loveme 112featmase",5
"112 Featuring Super Cat","Na Na Na",6,"Na Na Na","112","Cat","na na na","112 featuring super cat","na na na","112 featuring super cat","nanana","nanana","112featuringsupercat","112featuringsupercat","nanana 112featuringsupercat","nanana 112featuringsupercat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2Gether","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",3,"The Hardest Part Of Breaking Up ","2Gether","2Gether","the hardest part of breaking up (is getting back your stuff)","2gether","the hardest part of breaking up  is getting back your stuff ","2gether","thehardestpartofbreakingupisgettingbackyourstuff","thehardestpartofbreakingup","2gether","2gether","thehardestpartofbreakingup 2gether","thehardestpartofbreakingup 2gether",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2Pac","Changes",15,"Changes","2Pac","2Pac","changes","2pac","changes","2pac","changes","changes","2pac","2pac","changes 2pac","changes 2pac","Changes","2Pac","changes","2pac","changes","changes","changes","changes","2pac","2pac","2pac","changes 2pac",0
"2Pac","Changes",15,"Changes","2Pac","2Pac","changes","2pac","changes","2pac","changes","changes","2pac","2pac","changes 2pac","changes 2pac","Changes (remix)","2Pac","changes (remix)","2pac","changes  remix ","changes ","changesremix","changes","2pac","2pac","2pac","changes 2pac",0
"2Pac","Changes",15,"Changes","2Pac","2Pac","changes","2pac","changes","2pac","changes","changes","2pac","2pac","changes 2pac","changes 2pac","Changes (original)","2Pac","changes (original)","2pac","changes  original ","changes ","changesoriginal","changes","2pac","2pac","2pac","changes 2pac",0
"2Pac","Changes",15,"Changes","2Pac","2Pac","changes","2pac","changes","2pac","changes","changes","2pac","2pac","changes 2pac","changes 2pac","Changes (instrumental)","2Pac","changes (instrumental)","2pac","changes  instrumental ","changes ","changesinstrumental","changes","2pac","2pac","2pac","changes 2pac",0
"2Pac","Changes",15,"Changes","2Pac","2Pac","changes","2pac","changes","2pac","changes","changes","2pac","2pac","changes 2pac","changes 2pac","Changes (radio edit)","2Pac","changes (radio edit)","2pac","changes  radio edit ","changes ","changesradioedit","changes","2pac","2pac","2pac","changes 2pac",0
"2Pac","Changes",15,"Changes","2Pac","2Pac","changes","2pac","changes","2pac","changes","changes","2pac","2pac","changes 2pac","changes 2pac","Changes (Tony Kenyon Mix)","2Pac","changes (tony kenyon mix)","2pac","changes  tony kenyon mix ","changes ","changestonykenyonmix","changes","2pac","2pac","2pac","changes 2pac",0
"2Pac","Changes",15,"Changes","2Pac","2Pac","changes","2pac","changes","2pac","changes","changes","2pac","2pac","changes 2pac","changes 2pac","Changes (DJ Veli mix)","2Pac","changes (dj veli mix)","2pac","changes  dj veli mix ","changes ","changesdjvelimix","changes","2pac","2pac","2pac","changes 2pac",0
"2Pac","Thugz Mansion",20,"Thugz Mansion","2Pac","2Pac","thugz mansion","2pac","thugz mansion","2pac","thugzmansion","thugzmansion","2pac","2pac","thugzmansion 2pac","thugzmansion 2pac","Thugz Mansion","2Pac","thugz mansion","2pac","thugz mansion","thugz mansion","thugzmansion","thugzmansion","2pac","2pac","2pac","thugzmansion 2pac",0
"2Pac","Thugz Mansion",20,"Thugz Mansion","2Pac","2Pac","thugz mansion","2pac","thugz mansion","2pac","thugzmansion","thugzmansion","2pac","2pac","thugzmansion 2pac","thugzmansion 2pac","Thugz Mansion (Slippin’)","2Pac","thugz mansion (slippin’)","2pac","thugz mansion  slippin  ","thugz mansion ","thugzmansionslippin","thugzmansion","2pac","2pac","2pac","thugzmansion 2pac",0
"2Pac","Thugz Mansion",20,"Thugz Mansion","2Pac","2Pac","thugz mansion","2pac","thugz mansion","2pac","thugzmansion","thugzmansion","2pac","2pac","thugzmansion 2pac","thugzmansion 2pac","Thugz Mansion II","2Pac","thugz mansion ii","2pac","thugz mansion ii","thugz mansion ii","thugzmansionii","thugzmansionii","2pac","2pac","2pac","thugzmansionii 2pac",2
"2Pac","Thugz Mansion",20,"Thugz Mansion","2Pac","2Pac","thugz mansion","2pac","thugz mansion","2pac","thugzmansion","thugzmansion","2pac","2pac","thugzmansion 2pac","thugzmansion 2pac","Thugz Mansion (video)","2Pac","thugz mansion (video)","2pac","thugz mansion  video ","thugz mansion ","thugzmansionvideo","thugzmansion","2pac","2pac","2pac","thugzmansion 2pac",0
"2Pac","Thugz Mansion",20,"Thugz Mansion","2Pac","2Pac","thugz mansion","2pac","thugz mansion","2pac","thugzmansion","thugzmansion","2pac","2pac","thugzmansion 2pac","thugzmansion 2pac","Thugz Mansion","2Pac & Nas","thugz mansion","2pac & nas","thugz mansion","thugz mansion","thugzmansion","thugzmansion","2pac & nas","2pacnas","2pacnas","thugzmansion 2pacnas",3
