"","Artist","artist","artist_credit_phrase","Artist_no_featuring","song title","artist mbid","ISRC","release","recording_id","country","date"
"62","Ja Rule Featuring Bobby Brown","Ja Rule","Ja Rule feat. 01 & Vita","Ja Rule","F*** You","b504f625-4ef6-4a5a-81e8-870a61e8dc9c","USDJ20010446","Rule 3:36","782c64cc-0eb5-47c1-9df1-31caf509e27e","XW",NA
"63","112 Featuring Lil'z","112","112","112","Anywhere (interlude)","9132d515-dc0e-4494-85ae-20f06eed14f9","USAR19800511","Room 112","7001506d-45cf-491a-bf76-a4da729eff1d","DE","1998-11-07"
"64","Xzibit","Xzibit","Xzibit featuring Strong Arm Steady","Xzibit","Crazy Ho","9e839dc3-55f3-4492-ad0e-a1a2e84275e2","USSM10412576","Weapons of Mass Destruction","51ee6056-6268-492e-a85a-bc0432b27a61","JP","2004-12-08"
"65","Fatboy Slim","Fatboy Slim","Fatboy Slim","Fatboy Slim","Star 69","34c63966-445c-4613-afe1-4f0e1e53ae9a","GBBMQ0000113","Bolero Mix 18","eb77da9c-bc77-4ec1-b5b6-9558f78d1981","ES","2001"
"66","Lil' Flip Featuring Lea","Pimp C","Pimp C feat. Lil’ Flip & Z-Ro","Lil Flip","Comin’ Up","981d39fc-bd00-4cc6-ac67-6410f8b89098","USZXT1042312","The Sweet James Jones Stories","c5c6b4c1-4e63-413c-aa99-087639f38950","US","2005-03-01"
"67","Lil Bow Wow","Bow Wow","Bow Wow feat. Ciara","Lil Bow Wow","Like You","6fd44ae7-097d-4979-94ba-5dfc40d9f7ad","USSM10500413","Essential R&B: Hit Selection","dbd44683-4ed7-40be-bcaf-04df2a527535","GB","2008-08-18"
"68","Justin Timberlake","Justin Timberlake","Justin Timberlake","Justin Timberlake","Sexy Ladies","596ffa74-3d08-44ef-b113-765d43d12738","USJI10600501","FutureSex/LoveSounds","18b8ab70-5031-4fa3-9303-eb37f32384e7","AF","2006-09-08"
"69","Counting Crows","Counting Crows","Counting Crows","Counting Crows","A Long December","a0327dc2-dc76-44d5-aec6-47cd2dff1469","USGF19822221","Across a Wire: Live in New York City","49e6dc54-4c53-4040-8f43-841e0a0c481c","GB","1998-07-13"
"70","Whitney Houston & Mariah Carey","Whitney Houston","Whitney Houston","Whitney Houston","I Bow Out","0307edfc-437c-4b48-8700-80680e66a228","USAR19800147","My Love Is Your Love","5985483f-21f6-49d1-b550-7e5f3ab18a0d","DE","1998-11-16"
"71","Ja Rule Featuring R. Kelly & Ashanti","The Murderers","The Murderers featuring Ja Rule, Black Child, Tah Murda and Vita","Ja Rule","Dem Niggaz","b504f625-4ef6-4a5a-81e8-870a61e8dc9c","USDJ29905448","Irv Gotti Presents…The Murderers","891a11d5-fb8f-4f5b-90ba-69de73a64a39","US","2000-02-15"
